# Geiger-Müller Kennlinie
#
# t = 60 s
#U[V]	N[Imp]
320	9672
330	9689
340	9580
350	9837
360	9886
370	10041
380	9996
390	9943
400	9995
410	9980
420	9986
430	9960
440	10219
450	10264
460	10174
470	10035
480	10350
490	10290
500	10151
510	10110
520	10255
530	10151
540	10351
550	10184
560	10137
570	10186
580	10171
590	10171
600	10253
610	10368
620	10365
630	10224
640	10338
650	10493
660	10467
670	10640
680	10939
690	11159
700	11547



320	&9672	&161,200	& 12,696\\
330	&9689	&161,483	& 12,708\\
340	&9580	&159,667	& 12,636\\
350	&9837	&163,950	& 12,804\\
360	&9886	&164,767	& 12,836\\
370	&10041	&167,350	& 12,936\\
380	&9996	&166,600	& 12,907\\
390	&9943	&165,717	& 12,873\\
400	&9995	&166,583	& 12,907\\
410	&9980	&166,333	& 12,897\\
420	&9986	&166,433	& 12,901\\
430	&9960	&166,000	& 12,884\\
440	&10219	&170,317	& 13,051\\
450	&10264	&171,067	& 13,079\\
460	&10174	&169,567	& 13,022\\
470	&10035	&167,250	& 12,933\\
480	&10350	&172,500	& 13,134\\
490	&10290	&171,500	& 13,096\\
500	&10151	&169,183	& 13,007\\
510	&10110	&168,500	& 12,981\\
520	&10255	&170,917	& 13,074\\
530	&10151	&169,183	& 13,007\\
540	&10351	&172,517	& 13,135\\
550	&10184	&169,733	& 13,028\\
560	&10137	&168,950	& 12,998\\
570	&10186	&169,767	& 13,029\\
580	&10171	&169,517	& 13,020\\
590	&10171	&169,517	& 13,020\\
600	&10253	&170,883	& 13,072\\
610	&10368	&172,800	& 13,145\\
620	&10365	&172,750	& 13,143\\
630	&10224	&170,400	& 13,054\\
640	&10338	&172,300	& 13,126\\
650	&10493	&174,883	& 13,224\\
660	&10467	&174,450	& 13,208\\
670	&10640	&177,333	& 13,317\\
680	&10939	&182,317	& 13,502\\
690	&11159	&185,983	& 13,638\\
700	&11547	&192,450	& 13,873\\

320, 330, 340, 350, 360, 370, 380, 390, 400, 410, 420, 430, 440, 450, 460, 470, 480, 490, 500, 510, 520, 530, 540, 550, 560, 570, 580, 590, 600, 610, 620, 630, 640, 650, 660, 670, 680, 690, 700, 
161.200,161.483,159.667,163.950,164.767,167.350,166.600,165.717,166.583,166.333,166.433,166.000,170.317,171.067,169.567,167.250,172.500,171.500,169.183,168.500,170.917,169.183,172.517,169.733,168.950,169.767,169.517,169.517,170.883,172.800,172.750,170.400,172.300,174.883,174.450,177.333,182.317,185.983,192.450,
12.696,12.708,12.636,12.804,12.836,12.936,12.907,12.873,12.907,12.897,12.901,12.884,13.051,13.079,13.022,12.933,13.134,13.096,13.007,12.981,13.074,13.007,13.135,13.028,12.998,13.029,13.020,13.020,13.072,13.145,13.143,13.054,13.126,13.224,13.208,13.317,13.502,13.638,13.873,

114.364,150.075,255.748,295.537,368.225,475.471,500.334,584.567
350,400,450,500,550,600,650,700
8.932,11.628,19.554,22.721,28.264,36.373,37.834,42.138


350
400
450
500
550
600
650
700
